Chicago blue
San_Francisco   blue
Los_Angeles yellow
Mexico_City yellow
Miami   yellow
Atlanta blue
Washington  blue
Montreal    blue
New_York    blue
Bogota  yellow
Lima    yellow
Santiago    yellow
Buenos_Aires    yellow
Sao_Paulo   yellow
Madrid  blue
London  blue
Essen   blue
Paris   blue
Milan   blue
St._Petersburg  blue
Lagos   yellow
Kinshasa    yellow
Johannesburg    yellow
Khartoum    yellow
Algiers black
Istanbul    black
Moscow  black
Cairo   black
Baghdad black
Tehran  black
Riyadh  black
Karachi black
Delhi   black
Mumbai  black
Kolkata black
Chennai black
Bangkok red
Jakarta red
Ho_Chi_Minh_City    red
Hong_Kong   red
Shanghai    red
Beijing red
Seoul   red
Tokyo   red
Osaka   red
Taipei  red
Manila  red
Sydney  red
