Chicago San_Francisco
Chicago	Los_Angeles
Chicago Atlanta
Chicago Mexico_City
San_Francisco   Los_Angeles
Atlanta Miami
Mexico_City Miami
Mexico_City Los_Angeles
Washington  Atlanta
Washington  Montreal
Washington  Miami
Montreal    Chicago
New_York    Montreal
New_York    Washington
Bogota  Miami
Bogota  Mexico_City
Lima    Mexico_City
Lima    Bogota
Santiago    Lima
Buenos_Aires    Bogota
Sao_Paulo   Buenos_Aires
Sao_Paulo   Bogota
New_York    London
New_York    Madrid
Sao_Paulo   Madrid
Sao_Paulo   Lagos
London  Madrid
London  Paris
London  Essen
Paris   Madrid
Paris   Milan
Paris   Essen
Essen   St._Petersburg
Essen   Milan
Lagos   Khartoum
Lagos   Kinshasa
Johannesburg    Khartoum
Johannesburg    Kinshasa
Khartoum    Kinshasa
Khartoum    Cairo
Algiers Madrid
Algiers Paris
Algiers Istanbul
Algiers Cairo
Istanbul    Milan
Istanbul    St._Petersburg
Istanbul    Moscow
Istanbul    Baghdad
Istanbul    Cairo
Moscow  St._Petersburg
Moscow  Tehran
Cairo   Baghdad
Cairo   Riyadh
Baghdad Tehran
Baghdad Karachi
Baghdad Riyadh
Tehran  Delhi
Tehran  Karachi
Riyadh  Karachi
Karachi Delhi
Karachi Mumbai
Delhi   Mumbai
Delhi   Chennai
Delhi   Kolkata
Mumbai  Chennai
Kolkata Chennai
Bangkok Kolkata
Bangkok Chennai
Bangkok Jakarta
Bangkok Ho_Chi_Minh_City
Bangkok Hong_Kong
Jakarta Chennai
Jakarta Ho_Chi_Minh_City
Jakarta Sydney
Ho_Chi_Minh_City    Hong_Kong
Ho_Chi_Minh_City    Manila
Hong_Kong   Manila
Hong_Kong   Taipei
Hong_Kong   Shanghai
Shanghai    Beijing
Shanghai    Seoul
Shanghai    Tokyo
Shanghai    Taipei
Beijing Seoul
Seoul   Tokyo
Tokyo   Osaka
Tokyo   San_Francisco
Osaka   Taipei
Taipei  Manila
Manila  Sydney
Manila  San_Francisco
Sydney  Los_Angeles
